refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
GP03FLMB-RIM01-02-ADCPSL007,26%,100%,100%,100%,100%,100%,100%,96%,,,,37%,100%,100%,100%,100%,27%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,34%,,,,,,,,19%,3%,19%,,,,,,
GP03FLMB-RIM01-02-CTDMOG060,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG061,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG062,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG063,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG064,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG065,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG066,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG067,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,,,,,,,,,,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOG068,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOH069,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOH070,26%,100%,100%,100%,97%,100%,100%,96%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIM01-02-CTDMOH071,26%,100%,100%,100%,97%,100%,100%,96%,,,,,,,,,,,,,,,,73%,100%,100%,100%,100%,100%,100%,100%,31%,,,,,,,,23%,30%,16%,,,,,,
GP03FLMB-RIS01-03-DOSTAD000,26%,97%,100%,100%,100%,100%,100%,93%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,60%,,6%,,,,,,,,,3%,,,,,,,,
GP03FLMB-RIS01-04-PHSENF000,23%,94%,100%,100%,100%,100%,100%,93%,,,,37%,100%,100%,100%,100%,23%,,,,,,,73%,100%,100%,93%,94%,57%,,3%,,,,,,,,,,,,,,,,,
GP03FLMB-RIS01-05-FLORTD000,26%,97%,100%,100%,100%,100%,100%,93%,,,,37%,100%,100%,100%,100%,30%,,,,,,,73%,100%,100%,100%,100%,60%,,6%,,,,,,,,,3%,,,,,,,,
GP05MOAS-GL276-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL276-02-DOSTAM000,,,,,,,,,,,,53%,100%,100%,100%,100%,100%,100%,100%,100%,58%,20%,52%,3%,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL276-04-CTDGVM000,,,,,,,,,,,,53%,100%,100%,100%,100%,100%,100%,100%,100%,58%,20%,52%,3%,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL361-01-FLORDM000,,,,,,,,25%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL361-02-DOSTAM000,,,,,,,,25%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL361-04-CTDGVM000,,,,,,,,25%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL362-01-FLORDM000,,,,,,,,,,,,,,6%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL362-02-DOSTAM000,,,,,,,,,,,,,,6%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL362-04-CTDGVM000,,,,,,,,,,,,,,6%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL363-01-FLORDM000,42%,100%,100%,100%,100%,100%,100%,100%,23%,20%,71%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL363-02-DOSTAM000,42%,100%,100%,100%,100%,100%,100%,100%,23%,20%,71%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL363-04-CTDGVM000,42%,100%,100%,100%,100%,100%,100%,100%,23%,30%,71%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL364-01-FLORDM000,39%,100%,100%,100%,100%,71%,61%,36%,10%,17%,81%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL364-02-DOSTAM000,39%,100%,97%,100%,100%,71%,61%,36%,10%,17%,81%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL364-04-CTDGVM000,39%,100%,100%,100%,100%,74%,61%,36%,10%,17%,81%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL365-01-FLORDM000,39%,100%,100%,100%,100%,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,100%,87%,73%,100%,100%,58%,42%,,,,,
GP05MOAS-GL365-02-DOSTAM000,42%,100%,100%,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,100%,87%,73%,100%,100%,58%,42%,,,,,
GP05MOAS-GL365-04-CTDGVM000,42%,100%,100%,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,100%,87%,73%,100%,100%,58%,42%,,,,,
GP05MOAS-GL453-01-FLORDM000,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL453-02-DOSTAM000,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL453-04-CTDGVM000,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL523-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,100%,100%,100%,81%,3%,,,,,,,,,,,,,,
GP05MOAS-GL523-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,97%,100%,100%,81%,3%,,,,,,,,,,,,,,
GP05MOAS-GL523-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,100%,100%,100%,84%,3%,,,,,,,,,,,,,,
GP05MOAS-GL525-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,100%,100%,100%,100%,26%,,,,,,,,,,,,,,,
GP05MOAS-GL525-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,100%,100%,100%,100%,26%,,,,,,,,,,,,,,,
GP05MOAS-GL525-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,100%,100%,100%,100%,26%,,,,,,,,,,,,,,,
GP05MOAS-GL537-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,100%,100%,29%,10%,,,,,,,,,,,,,,
GP05MOAS-GL537-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,100%,97%,29%,10%,,,,,,,,,,,,,,
GP05MOAS-GL537-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,100%,100%,29%,10%,,,,,,,,,,,,,,
GP05MOAS-PG514-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,53%,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG514-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,53%,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG514-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG514-03-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG514-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG514-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,53%,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG514-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,3%,97%,100%,100%,100%,100%,100%,100%,90%,34%,,,,,,,,,,,,,,,,
GP05MOAS-PG515-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-02-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-03-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-04-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,3%,97%,100%,100%,100%,100%,100%,100%,90%,31%,,,,,,,,,,,,,,,,
GP05MOAS-PG575-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG575-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG575-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG575-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG575-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG575-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS01SUMO-RID16-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,39%,100%,100%,58%,7%,19%,71%,,,,58%,100%,100%,100%,100%,100%,90%,94%,74%,100%,100%,77%,97%,100%,96%,100%,73%,10%,
GS01SUMO-RID16-02-FLORTD000,,,,,,,,,,,,,,,,,,,,36%,84%,87%,48%,7%,19%,55%,,,,52%,84%,86%,87%,87%,84%,87%,84%,74%,87%,84%,87%,90%,84%,86%,87%,73%,26%,
GS01SUMO-RID16-03-CTDBPF000,,,,,,,,,,,,,,,,,,,,39%,100%,100%,58%,7%,,,,,,58%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,97%,100%,100%,100%,100%,50%,39%,
GS01SUMO-RID16-04-VELPTA000,,,,,,,,,,,,,,,,,,,,39%,100%,100%,58%,3%,42%,48%,3%,,,58%,100%,100%,100%,100%,100%,100%,97%,90%,100%,100%,97%,100%,100%,100%,100%,80%,,
GS01SUMO-RID16-05-PCO2WB000,,,,,,,,,,,,,,,,,,,,11%,29%,27%,16%,,6%,19%,,,,16%,29%,28%,29%,27%,29%,27%,29%,23%,30%,26%,7%,,,,,,,
GS01SUMO-RID16-06-DOSTAD000,,,,,,,,,,,,,,,,,,,,36%,84%,87%,48%,7%,19%,61%,,,,52%,84%,86%,87%,87%,84%,87%,84%,77%,87%,84%,87%,90%,84%,86%,87%,73%,26%,
GS01SUMO-RID16-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,39%,100%,100%,58%,7%,19%,71%,,,,58%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,97%,74%,100%,100%,100%,90%,35%,
GS01SUMO-RID16-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,36%,84%,87%,48%,7%,19%,55%,,,,52%,84%,86%,87%,83%,84%,87%,81%,74%,87%,84%,87%,90%,84%,86%,87%,60%,,
GS01SUMO-RII11-02-ADCPSN010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,97%,77%,90%,100%,77%,100%,50%,90%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDBPP031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,77%,90%,,,,,
GS01SUMO-RII11-02-CTDBPP032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,28%,,,,,,,,,20%,77%,100%,100%,100%,100%,52%,
GS01SUMO-RII11-02-CTDBPP033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,13%,,,,,,20%,77%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDMOQ011,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,100%,100%,100%,100%,100%,97%,43%,58%,100%,77%,100%,53%,81%,100%,100%,100%,97%,94%,93%
GS01SUMO-RII11-02-CTDMOQ012,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,100%,100%,100%,100%,100%,97%,73%,81%,97%,77%,100%,43%,81%,100%,100%,100%,100%,94%,93%
GS01SUMO-RII11-02-CTDMOQ013,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,100%,100%,100%,100%,100%,97%,73%,81%,97%,77%,100%,50%,81%,100%,100%,100%,97%,100%,100%
GS01SUMO-RII11-02-CTDMOQ014,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,100%,100%,100%,100%,100%,97%,70%,81%,97%,77%,100%,43%,81%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDMOQ015,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,100%,100%,100%,100%,100%,97%,57%,58%,97%,77%,100%,43%,81%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDMOQ016,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,100%,100%,100%,100%,100%,97%,70%,81%,97%,77%,100%,43%,81%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDMOQ017,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,27%,100%,100%,100%,100%,100%,97%,70%,81%,97%,77%,100%,43%,81%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDMOQ031,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,71%,,,,,,,,,,,,,,,,,,
GS01SUMO-RII11-02-CTDMOQ033,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,10%,42%,77%,,,30%,71%,,,,,,,,,,,,,,,,,,
GS01SUMO-RII11-02-CTDMOR018,,,,,,,,,,,,,,,,,,,,7%,100%,100%,58%,7%,42%,77%,,,27%,100%,100%,100%,100%,100%,97%,70%,81%,97%,77%,100%,43%,81%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDMOR019,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,7%,42%,77%,,,27%,100%,100%,100%,100%,100%,97%,70%,81%,97%,77%,100%,43%,81%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-CTDMOR020,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,7%,42%,77%,,,27%,100%,100%,100%,100%,100%,97%,70%,81%,97%,77%,100%,57%,81%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-DOSTAD031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,77%,90%,,,,,
GS01SUMO-RII11-02-DOSTAD032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,28%,,,,,,,,,20%,77%,100%,100%,100%,100%,52%,
GS01SUMO-RII11-02-DOSTAD033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,13%,,,,,,20%,77%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-FLORDG031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,77%,90%,,,,,
GS01SUMO-RII11-02-FLORDG032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,28%,,,,,,,,,20%,77%,100%,100%,100%,100%,52%,
GS01SUMO-RII11-02-FLORDG033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,100%,100%,100%,100%,13%,,,,,,20%,77%,100%,100%,100%,100%,100%,100%
GS01SUMO-RII11-02-PCO2WC051,,,,,,,,,,,,,,,,,,,,7%,29%,27%,16%,3%,13%,23%,,,10%,19%,,14%,10%,10%,16%,7%,3%,,,,,10%,26%,29%,13%,7%,19%,10%
GS01SUMO-RII11-02-PCO2WC052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,16%,26%,29%,29%,27%,29%,27%
GS01SUMO-RII11-02-PCO2WC053,,,,,,,,,,,,,,,,,,,,7%,19%,,,,,,,,,16%,19%,3%,,,,,,,,,3%,19%,6%,,29%,27%,29%,27%
GS01SUMO-RII11-02-PHSENE041,,,,,,,,,,,,,,,,,,,,36%,100%,100%,58%,20%,,,,,,26%,,,,,,,,,,,20%,81%,100%,100%,32%,,,
GS01SUMO-RII11-02-PHSENE042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52%,100%,100%,100%,90%,,,,,,,,,,,,,,
GS01SUMO-SBD11-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,36%,84%,87%,48%,7%,32%,61%,,,20%,87%,84%,86%,87%,87%,84%,87%,84%,77%,93%,84%,47%,87%,84%,86%,87%,83%,87%,87%
GS01SUMO-SBD11-05-SPKIRB000,,,,,,,,,,,,,,,,,,,,36%,84%,87%,48%,7%,19%,48%,,,20%,87%,84%,86%,87%,47%,84%,87%,84%,77%,77%,84%,33%,87%,84%,86%,87%,83%,87%,87%
GS01SUMO-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS01SUMO-SBD11-08-NUTNRB000,,,,,,,,,,,,,,,,,,,,39%,100%,100%,58%,7%,35%,71%,,,23%,100%,100%,100%,100%,100%,100%,27%,100%,100%,80%,100%,43%,100%,100%,100%,100%,97%,94%,93%
GS01SUMO-SBD12-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,39%,100%,100%,90%,27%,35%,97%,77%,97%,97%,87%,100%,100%,100%,100%,97%,100%,97%,74%,100%,100%,77%,94%,100%,100%,100%,87%,87%,87%
GS01SUMO-SBD12-02-FLORTD000,,,,,,,,,,,,,,,,,,,,36%,84%,87%,74%,23%,32%,84%,77%,87%,83%,84%,84%,86%,87%,87%,84%,87%,52%,77%,87%,84%,87%,90%,84%,86%,87%,83%,87%,87%
GS01SUMO-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,14%,100%,100%,58%,3%,,,,,,58%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,16%,,,,,,
GS01SUMO-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,39%,100%,100%,90%,23%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,16%,,,,,,
GS01SUMO-SBD12-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS01SUMO-SBD12-08-FDCHPA000,,,,,,,,,,,,,,,,,,,,39%,100%,97%,90%,23%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,40%
GS02HYPM-RIM01-02-CTDMOG039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,26%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP02-01-FLORDL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,3%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP02-03-DOSTAL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,3%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP02-04-CTDPFL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,6%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP02-05-VEL3DL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,3%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP03-01-FLORDL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,16%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP03-03-DOSTAL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,16%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP03-04-CTDPFL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,16%,,,,,,,,,,,,,,,,,
GS02HYPM-WFP03-05-VEL3DL000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,13%,,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-ADCPSL003,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,13%,,,,,,48%,84%,3%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG040,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG041,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG042,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG043,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG044,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG045,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG046,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG047,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOG048,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOH049,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOH050,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIM01-02-CTDMOH051,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,10%,,,,,,48%,84%,14%,,,,,,,,,,,,,,,,
GS03FLMA-RIS01-03-DOSTAD000,,,,,,,,,,,,,,,,,,,,,13%,47%,29%,,,,,,,,,,,,,,,,,,,,,,,,,
GS03FLMA-RIS01-04-PHSENF000,,,,,,,,,,,,,,,,,,,,11%,100%,97%,77%,7%,,,,,,45%,65%,,,,,,,,,,,,,,,,,
GS03FLMA-RIS01-05-FLORTD000,,,,,,,,,,,,,,,,,,,,11%,100%,100%,100%,17%,,,,,,48%,84%,7%,,,,,,,,,,,,,,,,
GS03FLMB-RIM01-02-ADCPSL007,,,,,,,,,,,,,,,,,,,,18%,100%,100%,90%,3%,,,,,,52%,100%,21%,,,,,,,,,,,,,,,,
GS03FLMB-RIM01-02-CTDMOG060,,,,,,,,,,,,,,,,,,,,18%,100%,100%,94%,3%,,,,,,52%,100%,24%,,,,,,,,,,,,,,,,
GS03FLMB-RIM01-02-CTDMOG061,,,,,,,,,,,,,,,,,,,,18%,100%,100%,94%,3%,,,,,,52%,100%,24%,,,,,,,,,,,,,,,,
GS03FLMB-RIM01-02-CTDMOG062,,,,,,,,,,,,,,,,,,,,18%,100%,100%,94%,3%,,,,,,52%,100%,24%,,,,,,,,,,,,,,,,
